trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.9923181349223922}",20,0,-54.52978006356612,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9921226837982114}",25,8,-40.996626038118954,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.9919247871913297}",20,11,-21.784184197720585,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.9917244455895422}",20,0,-159.29722580201113,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.9915216594866709}",20,0,-54.75531120832004,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9913164293825633}",20,0,-63.351620936989356,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9911087557830907}",20,0,-94.8981219772522,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9908986392001478}",30,0,-111.60105786358434,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9906860801516507}",20,0,-143.31974363124277,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.9904710791615364}",20,0,-134.3337320958141,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9902536367597605}",20,0,-108.56266412876985,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9900337534822967}",25,0,-166.50265664837548,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9898114298711352}",25,4,-116.0770862220896,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.9895866664742815}",20,0,-126.73552528567814,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
93,False,"{'a': 0.5, 'e': 0.9893594638457546}",25,0,-55.83784847940946,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.9891298225455861}",20,0,-30.587533769480828,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9888977431398188}",30,0,-194.61833490723302,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.9886632262005052}",25,0,-39.25508750278318,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9884262723057059}",20,13,-11.256881221209472,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.9881868820394885}",20,6,-59.58035362588494,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.9879450559919257}",20,0,-69.30163923222419,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9877007947590948}",20,0,-146.38907503385187,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.9874540989430749}",20,0,-58.97633481246519,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9872049691519464}",20,0,-192.6605673725753,"{0: 7, 1: 3, 2: 5, 3: 3, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9869534059997894}",20,0,-9.494140538588702,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.9866994101066816}",30,0,-205.7490034697326,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.9864429820986974}",20,0,-106.43444315932706,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9861841226079061}",20,0,-148.13185208007008,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.9859228322723702}",25,0,-113.63746524706238,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.9856591117361444}",30,0,-123.04274418555593,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9853929616492729}",25,0,-107.75431478159226,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9851243826677893}",30,0,-134.84160366586536,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9848533754537137}",30,11,-125.96574214181405,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 2}",1
112,False,"{'a': 0.5, 'e': 0.9845799406750515}",25,0,-157.18351057441316,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
113,False,"{'a': 0.5, 'e': 0.984304079005792}",20,0,8.187869270180478,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9840257911259065}",20,0,-67.7108990799237,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9837450777213468}",25,0,-266.36294492988554,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
116,False,"{'a': 0.5, 'e': 0.983461939484043}",20,0,-53.309893269371905,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.9831763771119025}",25,0,-183.2576343986328,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.9828883913088079}",30,7,-102.34506741582936,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.9825979827846152}",25,0,-99.75188891538014,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.9823051522551522}",30,0,-259.49495401228324,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
121,False,"{'a': 0.5, 'e': 0.9820099004422168}",20,0,-68.12311666227897,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.981712228073575}",25,0,-229.34652022082398,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
123,False,"{'a': 0.5, 'e': 0.9814121358829593}",30,0,-169.38603502498492,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 4}",0
124,False,"{'a': 0.5, 'e': 0.9811096246100668}",20,0,-48.05544478897522,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.9808046950005572}",25,0,-199.3722231572393,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.9804973478060516}",25,0,-171.89013519056113,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
127,False,"{'a': 0.5, 'e': 0.9801875837841297}",25,0,-48.622590274216556,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.9798754036983289}",30,0,-108.1150851878577,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
